Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,2016,EFConsTotGHA,465276305.651436,12041489755.2043,3491495196.53944,681789211.735451,2132529989.0057,1030068465.5318496,19842648923.66818,3A,null
World,º World,2017,BiocapTotGHA,484489227.037606,0,3583202893.139,1068793195.66278,5322511108.24916,1518915215.96053,11977911640.0491,3A,null
World,º World,2017,EFConsTotGHA,484489227.037606,12682072646.6691,3583202893.139,690875756.25306,2156089232.03054,1019771531.151083,20616501286.280357,3A,null
World,º World,2018,BiocapTotGHA,486781047.267703,0,3570584351.89913,1068586133.54667,5303511116.56806,1511328666.63089,11940791315.9124,3A,null
World,º World,2018,EFConsTotGHA,486781047.267703,12880013370.6192,3570584351.89913,688994406.099295,2232606069.75701,1026403953.7404251,20885383199.382736,3A,null
World,º World,2019,BiocapTotGHA,494737768.482937,0,3614421365.60094,1069371220.01391,5291325329.09584,1513414476.8216,11983270160.0152,3A,null
World,º World,2019,EFConsTotGHA,494737768.482937,12872600626.2512,3614421365.60093,693538330.840138,2176642903.1042,1004429503.3927072,20856370497.67211,3A,null
World,º World,2020,BiocapTotGHA,499483905.183307,0,3606016334.08255,1070010245.57733,5274414173.3794,1510054205.78105,11959978864.0036,3A,null
World,º World,2020,EFConsTotGHA,499483905.183307,11790158925.7406,3606016334.08255,668490660.790349,2165273905.97662,1010177643.5935873,19739601375.367035,3A,null
World,º World,2021,BiocapTotGHA,506412880.342575,0,3635800203.71402,1078358283.32088,5264286041.8466,1514864500.62662,11999721909.8507,3A,null
World,º World,2021,EFConsTotGHA,506412880.342575,12938188045.7048,3635800203.71402,681167564.472394,2223046372.9669,1018337452.2173674,21002952519.41805,3A,null
World,º World,2022,BiocapTotGHA,510011949.757836,0,3631423022.64885,1078107956.37141,5263064005.82537,1514512844.39587,11997119778.9993,3A,null
World,º World,2022,EFConsTotGHA,510011949.757836,13336936496.6331,3631423022.64885,677795821.037009,2202267148.1713,1022087415.1324263,21380521853.380558,3A,null
World,º World,2023,BiocapTotGHA,514372900.3933,0,3630515722.48032,1077838594.32672,5261749045.04286,1514134447.89665,11998610710.1399,3A,null
World,º World,2023,EFConsTotGHA,514372900.3933,13246889055.5078,3630515722.48032,677631465.437794,2201716918.31864,1021829932.0004369,21292955994.13829,3A,null
World,º World,2024,BiocapTotGHA,518931735.464117,0,3629522905.79237,1077543843.8766,5260310144.16512,1513720386.07663,12000029015.3748,3A,null
World,º World,2024,EFConsTotGHA,518931735.464117,13370201814.1122,3629522905.79237,677451618.693224,2201114827.19282,1021550497.9237698,21418773399.178543,3A,null
